sample_id	donor_rrid_ref	study_accession	library_chemistry	library_prep_kit	sequencing_platform	alignment_tool	reference_genome	cellranger_version	n_cells	mean_umi_count_per_cell	mean_genes_per_cell	mean_total_reads_per_cell	mean_uniquely_mapped_reads_per_cell	mean_secondary_alignments_per_cell	mean_supplementary_alignments_per_cell	mean_cellbender_cell_probability	mean_post_cellbender_umis_per_cell	mean_pct_cellbender_removed	mean_pct_mitochondrial_reads
SRR10751501	SAMN09929411	GSE142465	V2							8612.071077504726	2762.726275992439	19040.599621928166	16643.288846880907	1754.7372400756144	0.0	0.9999251185833619	9306.222306238185	8.855753791221145	2.8659199785735954
SRR12831415	SAMN15314807	GSE159556	V2							1579.7334801762115	644.5572687224669	44139.299559471365	38884.0704845815	8563.801762114537	0.0	0.9996658832753808	2955.114537444934	13.525033945033643	6.564477629244604
SRR12831416	SAMN15314807	GSE159556	V2							1240.4944289693594	549.2757660167131	33981.697771587744	29493.430362116993	7744.844011142061	0.0	0.999548638763534	2488.6782729805013	15.255328837641445	5.857887061016163
SRR12831418	HPAP-066	GSE159556	V2							764.5631691648822	412.6359743040685	22059.749464668093	19023.188436830835	7264.152034261242	0.0	0.9992008943118681	1393.2569593147753	27.846493042512	4.052865687613257
SRR12831419	HPAP-066	GSE159556	V2							524.140157480315	272.9496062992126	20154.48503937008	17332.022047244096	6202.568503937008	0.0	0.9988043109263022	979.7385826771654	38.14476078922683	4.215828945975493
SRR17168069	SAMN10079665	GSE190447	V2							21433.538802660754	5453.0753880266075	428081.14634146343	378738.18625277164	47059.946784922395	0.0	0.9999797529233269	24404.148558758316	7.641020994797549	3.9062088135263355
SRR17168070	SAMN10079665	GSE190447	V2							22656.85106382979	5788.143617021276	814767.9202127659	741132.2287234042	86630.79787234042	0.0	0.9999836093567788	25732.436170212764	6.627989863783076	2.4245253666747444
SRR17168071	SAMN10079665	GSE190447	V2							18073.853658536584	5357.552845528456	363291.72764227644	330756.3638211382	40554.904471544716	0.0	0.9999743542535519	20823.04674796748	8.654483716211493	3.6704050753820487
SRR17168076	SAMN11417921	GSE190447	V2							22701.30291970803	4725.813868613139	220314.10583941606	189553.64598540147	14350.94890510949	0.0	0.9999735507651837	24299.5	9.176786044211552	3.1615707932887998
SRR17168077	SAMN11417921	GSE190447	V2							14699.888815789474	3917.3282894736844	79827.30197368421	68014.06118421053	5620.555263157895	0.0	0.9999298716454129	16175.834868421052	9.4947686753698	3.4939312577137374
SRR17168079	SAMN11417921	GSE190447	V2							17074.141873278237	4476.527548209367	126828.76997245179	106735.34573002755	8492.997245179064	0.0	0.999959979011336	19055.557851239668	7.458576423449883	3.780840239381665
SRR22266775	SAMN15944113	GSE217837	V3							11294.434904996482	3502.4408866995072	21104.351513019	19202.945460943	3114.914496833216	0.0	0.9999225011264498	12479.697044334975	7.483660966627877	4.319573473923604
SRR22775778	SAMN17831932	GSE221156	V3							24058.01662887377	4759.6001511715795	75989.5880574452	67811.96069538927	17167.351473922903	0.0	0.9999393837432111	27132.918367346938	6.499624224649528	8.947614448287792
SRR22775779	SAMN17528599	GSE221156	V3							23225.836522322927	4038.8590130916414	63598.63712655254	58221.75260154414	7563.429674387378	0.0	0.9998534535473327	25624.25075528701	4.810055992771234	7.359097235269376
SRR22775780	SAMN17209843	GSE221156	V3							22409.17238095238	4725.0663492063495	67898.15015873016	62278.815873015876	8411.723174603174	0.0	0.9999293513903542	24989.891428571427	4.88354359817125	4.149864180917044
